JourName,TransactionDay,Id,SumRetrait,CountTransaction,ConsommationHier,MSemaineDernier,MSemaine7,ConsoMmJrAnP,ConsoMmJrMP,ConsoMMJrSmDer,MoyenneMoisPrec,MoyenneMMSAnPrec,MoyenneMMmAnPrec,ConsommationMaxMDer
dimanche,01/01/2017,1,137900,280,NULL,NULL,846,NULL,NULL,NULL,NULL,NULL,NULL,NULL
lundi,02/01/2017,2,230600,534,137900,846,833,NULL,NULL,NULL,NULL,NULL,NULL,NULL
mardi,03/01/2017,3,272400,522,230600,846,880,NULL,NULL,NULL,NULL,NULL,NULL,NULL
mercredi,04/01/2017,4,229900,470,272400,846,842,NULL,NULL,NULL,NULL,NULL,NULL,NULL
jeudi,05/01/2017,5,239600,479,229900,846,833,NULL,NULL,NULL,NULL,NULL,NULL,NULL
vendredi,06/01/2017,6,214600,416,239600,846,830,NULL,NULL,NULL,NULL,NULL,NULL,NULL
samedi,07/01/2017,7,156100,330,214600,846,812,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dimanche,08/01/2017,8,88900,212,156100,846,801,NULL,NULL,137900,NULL,NULL,NULL,NULL
lundi,09/01/2017,9,157200,325,88900,797,798,NULL,NULL,230600,NULL,NULL,NULL,NULL
mardi,10/01/2017,10,183000,340,157200,797,794,NULL,NULL,272400,NULL,NULL,NULL,NULL
mercredi,11/01/2017,11,116200,288,183000,797,772,NULL,NULL,229900,NULL,NULL,NULL,NULL
jeudi,12/01/2017,12,162200,384,116200,797,772,NULL,NULL,239600,NULL,NULL,NULL,NULL
vendredi,13/01/2017,13,186200,415,162200,797,770,NULL,NULL,214600,NULL,NULL,NULL,NULL
samedi,14/01/2017,14,110700,273,186200,797,746,NULL,NULL,156100,NULL,NULL,NULL,NULL
dimanche,15/01/2017,15,92200,248,110700,797,741,NULL,NULL,88900,NULL,NULL,NULL,NULL
lundi,16/01/2017,16,130200,332,92200,750,737,NULL,NULL,157200,NULL,NULL,NULL,NULL
mardi,17/01/2017,17,98200,285,130200,750,713,NULL,NULL,183000,NULL,NULL,NULL,NULL
mercredi,18/01/2017,18,105100,271,98200,750,689,NULL,NULL,116200,NULL,NULL,NULL,NULL
jeudi,19/01/2017,19,129400,275,105100,750,678,NULL,NULL,162200,NULL,NULL,NULL,NULL
vendredi,20/01/2017,20,148200,335,129400,750,668,NULL,NULL,186200,NULL,NULL,NULL,NULL
samedi,21/01/2017,21,96300,265,148200,750,636,NULL,NULL,110700,NULL,NULL,NULL,NULL
dimanche,22/01/2017,22,64000,134,96300,750,643,NULL,NULL,92200,NULL,NULL,NULL,NULL
lundi,23/01/2017,23,118600,279,64000,647,647,NULL,NULL,130200,NULL,NULL,NULL,NULL
mardi,24/01/2017,24,95700,262,118600,647,643,NULL,NULL,98200,NULL,NULL,NULL,NULL
mercredi,25/01/2017,25,224700,375,95700,647,697,NULL,NULL,105100,NULL,NULL,NULL,NULL
jeudi,26/01/2017,26,136800,324,224700,647,714,NULL,NULL,129400,NULL,NULL,NULL,NULL
vendredi,27/01/2017,27,171100,353,136800,647,733,NULL,NULL,148200,NULL,NULL,NULL,NULL
samedi,28/01/2017,28,137100,312,171100,647,746,NULL,NULL,96300,NULL,NULL,NULL,NULL
dimanche,29/01/2017,29,59500,175,137100,647,755,NULL,NULL,64000,NULL,NULL,NULL,NULL
lundi,30/01/2017,30,164900,416,59500,757,771,NULL,NULL,118600,NULL,NULL,NULL,NULL
mardi,31/01/2017,31,246300,521,164900,757,800,NULL,NULL,95700,NULL,NULL,NULL,NULL
mercredi,01/02/2017,32,248700,513,246300,757,830,NULL,137900,224700,756,NULL,NULL,272400
jeudi,02/02/2017,33,213800,501,248700,757,810,NULL,230600,136800,756,NULL,NULL,272400
vendredi,03/02/2017,34,247500,447,213800,757,832,NULL,272400,171100,756,NULL,NULL,272400
samedi,04/02/2017,35,145500,348,247500,757,823,NULL,229900,137100,756,NULL,NULL,272400
dimanche,05/02/2017,36,81400,224,145500,757,817,NULL,239600,59500,756,NULL,NULL,272400
lundi,06/02/2017,37,236600,485,81400,832,829,NULL,214600,164900,756,NULL,NULL,272400
mardi,07/02/2017,38,172700,391,236600,832,815,NULL,156100,246300,756,NULL,NULL,272400
mercredi,08/02/2017,39,151300,381,172700,832,795,NULL,88900,248700,756,NULL,NULL,272400
jeudi,09/02/2017,40,150200,318,151300,832,772,NULL,157200,213800,756,NULL,NULL,272400
vendredi,10/02/2017,41,142200,264,150200,832,767,NULL,183000,247500,756,NULL,NULL,272400
samedi,11/02/2017,42,84200,214,142200,832,722,NULL,116200,145500,756,NULL,NULL,272400
