JourName;TransactionDay;CountTransaction;ConsommationHier;MSemaineDernier;MSemaine7;ConsoMmJrAnP;ConsoMmJrMP;ConsoMmJrSmDer;MoyenneMoisPrec;MoyenneMMSAnPrec;MoyenneMMmAnPrec;ConsommationMaxMDer;IdGab;PoidJr;PoidName;PoidTot;SumRetrait;Id;weekDay;year;weekMonth
mercredi;2014-01-01;135;NULL;NULL;17512;NULL;NULL;NULL;NULL;NULL;NULL;NULL;GAB-WN-01;4;2;8;140100;1;1;2014;1
jeudi;2014-01-02;173;140100;NULL;39012;NULL;NULL;NULL;NULL;NULL;NULL;NULL;GAB-WN-01;4;2;8;172000;2;1;2014;1
vendredi;2014-01-03;174;172000;NULL;54565;NULL;NULL;NULL;NULL;NULL;NULL;NULL;GAB-WN-01;4;6;24;124427;3;1;2014;1
samedi;2014-01-04;174;124427;NULL;70119;NULL;NULL;NULL;NULL;NULL;NULL;NULL;GAB-WN-01;4;7;28;124427;4;1;2014;1
dimanche;2014-01-05;132;124427;NULL;86194;NULL;NULL;NULL;NULL;NULL;NULL;NULL;GAB-WN-01;3;1;3;128600;5;1;2014;1
lundi;2014-01-06;174;128600;137910;101747;NULL;NULL;NULL;NULL;NULL;NULL;NULL;GAB-WN-01;3;3;9;124427;6;2;2014;1
mardi;2014-01-07;174;124427;137910;117301;NULL;NULL;NULL;NULL;NULL;NULL;NULL;GAB-WN-01;3;2;6;124427;7;2;2014;1
mercredi;2014-01-08;137;124427;137910;133626;NULL;NULL;140100;NULL;NULL;NULL;NULL;GAB-WN-01;3;2;6;130600;8;2;2014;2
jeudi;2014-01-09;112;130600;137910;128238;NULL;NULL;172000;NULL;NULL;NULL;NULL;GAB-WN-01;3;2;6;97000;9;2;2014;2
vendredi;2014-01-10;139;97000;137910;120263;NULL;NULL;124427;NULL;NULL;NULL;NULL;GAB-WN-01;3;6;18;108200;10;2;2014;2
samedi;2014-01-11;167;108200;137910;120860;NULL;NULL;124427;NULL;NULL;NULL;NULL;GAB-WN-01;3;7;21;129200;11;2;2014;2
dimanche;2014-01-12;150;129200;137910;118969;NULL;NULL;128600;NULL;NULL;NULL;NULL;GAB-WN-01;3;1;3;109300;12;2;2014;2
lundi;2014-01-13;174;109300;117593;118447;NULL;NULL;124427;NULL;NULL;NULL;NULL;GAB-WN-01;3;3;9;124427;13;3;2014;2
mardi;2014-01-14;174;124427;117593;118447;NULL;NULL;124427;NULL;NULL;NULL;NULL;GAB-WN-01;3;2;6;124427;14;3;2014;2
mercredi;2014-01-15;125;124427;117593;114419;NULL;NULL;130600;NULL;NULL;NULL;NULL;GAB-WN-01;3;2;6;92200;15;3;2014;3
jeudi;2014-01-16;164;92200;117593;114994;NULL;NULL;97000;NULL;NULL;NULL;NULL;GAB-WN-01;3;2;6;135200;16;3;2014;3
vendredi;2014-01-17;125;135200;117593;116781;NULL;NULL;108200;NULL;NULL;NULL;NULL;GAB-WN-01;3;6;18;111300;17;3;2014;3
samedi;2014-01-18;124;111300;117593;115606;NULL;NULL;129200;NULL;NULL;NULL;NULL;GAB-WN-01;3;7;21;98800;18;3;2014;3
dimanche;2014-01-19;128;98800;117593;111681;NULL;NULL;109300;NULL;NULL;NULL;NULL;GAB-WN-01;2;1;2;97800;19;3;2014;3
lundi;2014-01-20;156;97800;112022;115769;NULL;NULL;124427;NULL;NULL;NULL;NULL;GAB-WN-01;2;3;6;142000;20;4;2014;3
mardi;2014-01-21;174;142000;112022;115769;NULL;NULL;124427;NULL;NULL;NULL;NULL;GAB-WN-01;2;2;4;124427;21;4;2014;3
mercredi;2014-01-22;174;124427;112022;115769;NULL;NULL;92200;NULL;NULL;NULL;NULL;GAB-WN-01;2;2;4;124427;22;4;2014;4
jeudi;2014-01-23;154;124427;112022;122369;NULL;NULL;135200;NULL;NULL;NULL;NULL;GAB-WN-01;2;2;4;145000;23;4;2014;4
vendredi;2014-01-24;172;145000;112022;124856;NULL;NULL;111300;NULL;NULL;NULL;NULL;GAB-WN-01;2;6;12;155100;24;4;2014;4
