,Real demand,predicted Demand
0,182700,142963
1,187200,145276
2,193100,144803
3,126600,143051
4,82400,136577
5,127300,134641
6,132600,133830
7,143600,134279
8,116700,134845
9,119800,133778
10,120000,133519
11,71900,130616
12,125500,130267
13,114800,129430
14,123800,128099
15,119900,128298
16,131700,127676
17,140800,128260
18,64900,127006
19,201100,124792
20,188200,125939
21,226000,133028
22,251100,129220
23,206100,133027
24,144700,127499
25,143300,146727
26,148050,154204
27,200600,155147
28,152900,151389
29,145500,151951
30,118900,148123
31,85000,141803
32,127100,140860
33,101500,152731
34,123699,141877
35,103700,139331
36,116700,138612
37,88100,138055
38,148050,134413
39,91600,125051
40,116500,125802
41,129900,126542
42,124500,125886
43,97900,126749
44,85300,125738
45,148050,122452
46,113100,124642
47,233200,129859
48,191900,131594
49,211200,131579
50,222100,131695
51,211000,133591
52,121000,160843
53,131600,176483
54,249500,182251
55,206700,179446
56,178300,178605
57,148050,185383
58,122500,176605
59,87400,171411
60,130200,160128
61,122800,166340
62,147800,160733
63,140400,162853
64,127500,159158
65,77300,160926
66,61200,157725
67,95900,152429
68,148050,152416
