id,SumRetrait,CountTransaction,ConsommationHier,MSemaineDernier,MSemaine7,ConsoMmJrAnP,ConsoMmJrMP,ConsoMMJrSmDer,MoyenneMoisPrec,MoyenneMMSAnPrec,MoyenneMMmAnPrec,ConsommationMaxMDer
370,105700,266,65200,785,775,88900,171000,122300,764,797,756,263300
371,108500,342,105700,785,770,157200,128600,254000,764,797,756,263300
372,129000,315,108500,785,743,183000,83800,248600,764,797,756,263300
373,120400,243,129000,785,716,116200,97200,173700,764,797,756,263300
374,144200,294,120400,785,716,162200,141200,174500,764,797,756,263300
375,91300,273,144200,785,696,186200,98200,108300,764,797,756,263300
376,74700,211,91300,785,676,110700,91300,65200,764,797,756,263300
377,130200,318,74700,677,678,92200,128600,105700,764,750,756,263300
378,125300,337,130200,677,679,130200,110000,108500,764,750,756,263300
379,144100,275,125300,677,705,98200,65100,129000,764,750,756,263300
380,119600,267,144100,677,707,105100,100800,120400,764,750,756,263300
381,225900,476,119600,677,718,129400,132300,144200,764,750,756,263300
382,161000,338,225900,677,720,148200,107400,91300,764,750,756,263300
383,76000,189,161000,677,727,96300,128800,74700,764,750,756,263300
384,125100,295,76000,745,754,64000,138400,130200,764,647,756,263300
385,94800,260,125100,745,753,118600,105300,125300,764,647,756,263300
386,110100,251,94800,745,759,95700,59400,144100,764,647,756,263300
387,184300,360,110100,745,771,224700,110400,119600,764,647,756,263300
388,172400,348,184300,745,792,136800,180000,225900,764,647,756,263300
389,90600,258,172400,745,773,171100,194100,161000,764,647,756,263300
390,68900,193,90600,745,760,137100,191300,76000,764,647,756,263300
391,146400,368,68900,777,780,59500,252500,125100,764,757,756,263300
392,157600,427,146400,777,778,164900,200000,94800,764,757,756,263300
393,193100,409,157600,777,801,246300,176000,110100,764,757,756,263300
394,224000,472,193100,777,815,248700,122300,184300,755,757,734,254000
395,214600,411,224000,777,815,213800,254000,172400,755,757,734,254000
396,171800,344,214600,777,800,247500,248600,90600,755,757,734,254000
397,59500,154,171800,777,807,145500,173700,68900,755,757,734,254000
398,190000,390,59500,815,817,81400,174500,146400,755,832,734,254000
399,131100,399,190000,815,815,236600,108300,157600,755,832,734,254000
400,182700,366,131100,815,814,172700,65200,193100,755,832,734,254000
401,187200,379,182700,815,807,151300,105700,224000,755,832,734,254000
402,193100,347,187200,815,799,150200,108500,214600,755,832,734,254000
403,126600,215,193100,815,783,142200,129000,171800,755,832,734,254000
404,82400,214,126600,815,766,84200,120400,59500,755,832,734,254000
405,127300,302,82400,775,767,86200,144200,190000,755,713,734,254000
406,132600,292,127300,775,746,187000,91300,131100,755,713,734,254000
407,143600,289,132600,775,749,145600,74700,182700,755,713,734,254000
408,116700,249,143600,775,734,117600,130200,187200,755,713,734,254000
409,119800,278,116700,775,720,100400,125300,193100,755,713,734,254000
410,120000,242,119800,775,711,181700,144100,126600,755,713,734,254000
411,71900,158,120000,775,702,146100,119600,82400,755,713,734,254000
412,125500,267,71900,714,719,98300,225900,127300,755,684,734,254000
413,114800,243,125500,714,722,106100,161000,132600,755,684,734,254000
414,123800,275,114800,714,729,127200,76000,143600,755,684,734,254000
415,119900,287,123800,714,708,122800,125100,116700,755,684,734,254000
416,131700,269,119900,714,715,117800,94800,119800,755,684,734,254000
417,140800,277,131700,714,714,119100,110100,120000,755,684,734,254000
418,64900,189,140800,714,695,25700,184300,71900,755,684,734,254000
420,201100,432,150800,695,735,173000,90600,114800,755,688,734,254000
421,188200,399,201100,695,757,190600,68900,123800,755,688,734,254000
422,226000,436,188200,695,783,281400,224000,119900,760,688,768,224000
423,251100,485,226000,695,817,25700,214600,131700,760,688,768,224000
424,206100,353,251100,695,832,215300,171800,140800,760,688,768,224000
425,144700,297,206100,695,832,201100,59500,64900,760,688,768,224000
426,143300,305,144700,852,848,152400,190000,150800,760,844,768,224000
427,419300,741,143300,852,843,364500,131100,201100,760,844,768,224000
428,200600,437,419300,852,822,201000,182700,188200,760,844,768,224000
429,152900,324,200600,852,807,131000,187200,226000,760,844,768,224000
430,145500,293,152900,852,792,162900,193100,251100,760,844,768,224000
