,Real demand,predicted Demand
0,114800,115586.86564547895
1,188200,198411.07556414697
2,119600,114364.79128256859
3,64900,84160.61408317508
4,214600,203421.16154619772
5,15000,18052.92023428576
6,144200,116282.98346095113
7,119800,129012.54918142734
8,419300,341197.9777280621
9,59500,79738.86246578093
10,76000,80163.8184648389
11,101500,164162.6660985269
12,35200,36125.80931866262
13,82400,92485.65271843038
14,224000,232170.01662562136
15,233200,179071.92116319318
16,143300,146791.64967766427
17,123700,133294.38733376632
18,161000,150878.7587013431
19,94800,112125.57862336095
